Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/14/2025 16:28:29,System.Runtime,dotnet.process.memory.working_set (By),Metric,149704704
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,20334616
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3873416
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,58240
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,2202936
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
08/14/2025 16:28:29,System.Runtime,dotnet.assembly.count ({assembly}),Metric,88
08/14/2025 16:28:29,System.Runtime,dotnet.timer.count ({timer}),Metric,1
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,35409920
08/14/2025 16:28:29,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,12
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,554960
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,1332984
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,482032
08/14/2025 16:28:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
08/14/2025 16:28:30,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
08/14/2025 16:28:30,System.Runtime,dotnet.process.memory.working_set (By),Metric,150999040
08/14/2025 16:28:30,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32792
08/14/2025 16:28:30,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
08/14/2025 16:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,20334616
08/14/2025 16:28:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3873416
